名稱,高度,等,TWD97緯度,TWD97經度,所在地
紅木提,15.00 ,Ⅱ,23.57121843 ,119.57032652 ,馬公
後湖,29.51 ,Ⅱ,23.68149747 ,120.32692133 ,元長
西港,16.65 ,Ⅱ,23.86982422 ,120.29156733 ,大城
灣坑頭山,616.34 ,Ⅱ,24.97456408 ,121.91042258 ,貢寮 頭城
大社,184.33 ,Ⅱ,24.25815892 ,120.68875897 ,神岡
頂溪洲,6.96 ,Ⅱ,23.29236289 ,120.19309633 ,義竹 學甲
頂東石,2.66 ,Ⅱ,23.46958794 ,120.15537456 ,東石
北斗,38.16 ,Ⅱ,23.87081289 ,120.54056311 ,北斗
舜苑,32.00 ,Ⅱ,23.86840800 ,120.52135500 ,北斗
凍子頂,"1,179.52 ",Ⅱ,23.34213686 ,120.54700308 ,中埔 大埔
頂笨子山,"1,679.56 ",Ⅱ,23.41553178 ,120.71587008 ,阿里山
馬頭山,"1,127.27 ",Ⅱ,23.34623164 ,120.59753947 ,番路 大埔
隙頂山,"1,471.37 ",Ⅱ,23.43711344 ,120.65795417 ,番路
塔山,"2,484.05 ",Ⅱ,23.52919181 ,120.78128211 ,阿里山
河表湖山,"1,185.39 ",Ⅱ,23.23690889 ,120.67131761 ,那瑪夏
草山,"1,104.01 ",Ⅱ,23.33984158 ,120.65892539 ,大埔 阿里山
光崙山,"1,815.07 ",Ⅱ,23.50814756 ,120.68753917 ,梅山 竹崎
大武來山,924.07 ,Ⅱ,22.56981239 ,120.95560378 ,金峰 太麻里
杜鴉原山,"1,236.95 ",Ⅱ,22.47926306 ,120.85001817 ,金峰 達仁
出水坡山,652.91 ,Ⅱ,22.37670703 ,120.82517442 ,達仁
鹿皮山,"1,666.38 ",Ⅱ,24.48825561 ,121.72779447 ,南澳
金巢山,"1,725.38 ",Ⅱ,24.36830092 ,121.71827550 ,南澳
杵望山,"1,549.34 ",Ⅱ,24.29492778 ,121.68793075 ,秀林
九分山,"1,088.72 ",Ⅱ,24.60754050 ,121.57182836 ,宜蘭大同
海岸山,421.55 ,Ⅱ,24.42969906 ,121.79431203 ,南澳
萬人山,886.10 ,Ⅱ,23.23252322 ,121.31671528 ,富里
迪佳山,"1,044.53 ",Ⅱ,23.46119847 ,121.31436550 ,卓溪
員山,42.62 ,Ⅱ,24.74526439 ,121.72007219 ,員山
石寧山,147.45 ,Ⅱ,23.22280903 ,121.40995000 ,長濱
新城山,"1,440.42 ",Ⅱ,24.13228186 ,121.60361203 ,新城 秀林
壽山,501.25 ,Ⅱ,23.86980397 ,121.49163456 ,壽豐
鳳林山,821.69 ,Ⅱ,23.76881331 ,121.43154011 ,萬榮 鳳林
秀朗山,648.43 ,Ⅱ,23.59224144 ,121.43958800 ,豐濱
烏漏山,464.88 ,Ⅱ,23.52231472 ,121.41586919 ,瑞穗
石公山,832.68 ,Ⅱ,23.34405350 ,121.36600131 ,玉里
大港口山,248.69 ,Ⅱ,23.48324717 ,121.50400669 ,豐濱
六階鼻山,588.17 ,Ⅱ,23.75907411 ,121.51807989 ,壽豐 鳳林
初音山,905.45 ,Ⅱ,23.97075883 ,121.53138972 ,吉安 秀林
賀田山,441.20 ,Ⅱ,23.88774397 ,121.58686569 ,壽豐
加走山,91.86 ,Ⅱ,23.32227114 ,121.45664817 ,長濱
卓溪山,"1,129.69 ",Ⅱ,23.32777836 ,121.26851042 ,卓溪 玉里
馬錫山,"1,192.52 ",Ⅱ,23.66023253 ,121.38236789 ,萬榮 光復
織羅山,"1,151.79 ",Ⅱ,23.44377242 ,121.44699564 ,玉里 豐濱 長濱
立霧山,"1,274.41 ",Ⅱ,24.17812050 ,121.64189222 ,秀林
太巴塱山,744.62 ,Ⅱ,23.67404978 ,121.52046533 ,光復 豐濱
嵐山,"2,031.73 ",Ⅱ,24.04857733 ,121.53092422 ,秀林
白姑南山,"2,872.91 ",Ⅱ,24.15644950 ,121.11150322 ,南投仁愛
